"","ID","optvalue"
"1",100,0.0795301753189415
"2",101,0.0795301753189415
"3",102,0.0948297634720802
"4",103,0.0795301753189415
"5",104,0.0884105533408001
"6",105,0.0884105533408001
"7",106,0.0948297634720802
"8",107,0.0884105533408001
"9",108,0.0795301753189415
"10",109,0.0795301753189415
"11",110,0.0795301753189415
"12",111,0.0948297634720802
"13",112,0.112815090971999
"14",113,0.0884105533408001
"15",114,0.0948297634720802
"16",115,0.0884105533408001
"17",116,0.0884105533408001
"18",117,0.104275874758605
"19",118,0.0948297634720802
"20",119,0.0948297634720802
"21",120,0.0884105533408001
"22",121,0.0884105533408001
"23",122,0.0948297634720802
"24",123,0.0948297634720802
"25",124,0.104275874758605
"26",125,0.104275874758605
"27",126,0.112815090971999
"28",127,0.104275874758605
"29",128,0.0948297634720802
"30",129,0.0884105533408001
"31",130,0.0884105533408001
"32",131,0.0884105533408001
"33",132,0.0795301753189415
"34",133,0.104275874758605
"35",134,0.0795301753189415
"36",135,0.0948297634720802
"37",136,0.0948297634720802
"38",137,0.0884105533408001
"39",138,0.0948297634720802
"40",139,0.0795301753189415
"41",140,0.0948297634720802
"42",141,0.0795301753189415
"43",142,0.0948297634720802
"44",143,0.112815090971999
"45",144,0.0795301753189415
