"","call","input.parm","AvLik","ID"
"1","result.1",-2.4,128.432296286706,103
"2","result.2",-2.38,131.721484689242,103
"3","result.3",-2.36,143.192110001139,103
"4","result.4",-2.34,121.407208418956,103
"5","result.5",-2.32,112.095532863158,103
"6","result.6",-2.3,124.727496590045,103
"7","result.7",-2.28,122.757647188992,103
"8","result.8",-2.26,130.344752182841,103
"9","result.9",-2.24,116.415469625441,103
"10","result.10",-2.22,172.869789124121,103
"11","result.11",-2.2,174.874530331761,103
"12","result.12",-2.18,165.33589556376,103
"13","result.13",-2.16,208.047861479717,103
"14","result.14",-2.14,210.776335810311,103
"15","result.15",-2.12,201.153463777094,103
"16","result.16",-2.1,193.279285176695,103
"17","result.17",-2.08,221.539516699889,103
"18","result.18",-2.06,227.884981136815,103
"19","result.19",-2.04,219.817757222132,103
"20","result.20",-2.02,242.303147685623,103
"21","result.21",-2,233.905291149977,103
"22","result.22",-1.98,244.498953734658,103
"23","result.1",-2.4,220.998859001652,112
"24","result.2",-2.38,216.752986360078,112
"25","result.3",-2.36,216.332871234644,112
"26","result.4",-2.34,191.947496325474,112
"27","result.5",-2.32,175.637435209852,112
"28","result.6",-2.3,188.930155319043,112
"29","result.7",-2.28,194.521144270216,112
"30","result.8",-2.26,180.404128294067,112
"31","result.9",-2.24,156.657689649827,112
"32","result.10",-2.22,183.335954347615,112
"33","result.11",-2.2,177.446883361425,112
"34","result.12",-2.18,167.559179990258,112
"35","result.13",-2.16,174.070020203087,112
"36","result.14",-2.14,173.285872642278,112
"37","result.15",-2.12,164.564966733269,112
"38","result.16",-2.1,142.003388929841,112
"39","result.17",-2.08,132.23507517276,112
"40","result.18",-2.06,137.204033279497,112
"41","result.19",-2.04,101.763003287792,112
"42","result.20",-2.02,111.284286757549,112
"43","result.21",-2,129.155559004617,112
"44","result.22",-1.98,141.811121112596,112
"45","result.1",-2.4,192.524783214091,126
"46","result.2",-2.38,188.358825160358,126
"47","result.3",-2.36,179.831919743161,126
"48","result.4",-2.34,149.964649997829,126
"49","result.5",-2.32,140.260206364384,126
"50","result.6",-2.3,139.403159422466,126
"51","result.7",-2.28,135.852111501603,126
"52","result.8",-2.26,131.706784292746,126
"53","result.9",-2.24,103.271650066471,126
"54","result.10",-2.22,137.761091671133,126
"55","result.11",-2.2,138.810753125486,126
"56","result.12",-2.18,127.586309682613,126
"57","result.13",-2.16,126.604840562352,126
"58","result.14",-2.14,126.336851400186,126
"59","result.15",-2.12,128.498949034462,126
"60","result.16",-2.1,104.699223128676,126
"61","result.17",-2.08,111.052432705449,126
"62","result.18",-2.06,89.80475605208,126
"63","result.19",-2.04,96.6074526291711,126
"64","result.20",-2.02,95.5778728813743,126
"65","result.21",-2,108.096052265055,126
"66","result.22",-1.98,109.562244878373,126
"67","result.1",-2.4,137.785423552226,141
"68","result.2",-2.38,111.147794953764,141
"69","result.3",-2.36,103.633777098254,141
"70","result.4",-2.34,141.108609085375,141
"71","result.5",-2.32,150.945666481782,141
"72","result.6",-2.3,143.696401214111,141
"73","result.7",-2.28,135.315251481819,141
"74","result.8",-2.26,116.729207461451,141
"75","result.9",-2.24,111.768686466875,141
"76","result.10",-2.22,102.986593902335,141
"77","result.11",-2.2,121.467975857863,141
"78","result.12",-2.18,122.207087951053,141
"79","result.13",-2.16,146.790397415416,141
"80","result.14",-2.14,150.855358451528,141
"81","result.15",-2.12,138.855462181952,141
"82","result.16",-2.1,146.729574118956,141
"83","result.17",-2.08,178.606845345938,141
"84","result.18",-2.06,200.231859052282,141
"85","result.19",-2.04,195.048072969961,141
"86","result.20",-2.02,197.804603109008,141
"87","result.21",-2,207.125122159202,141
"88","result.22",-1.98,216.576641601079,141
